Time of departure (hh:mm 24hr),Date: YYYY-MM-DD,Direction of trip,Trial number,Distance (mi),Wind Speed (mph),Duration (mm:ss),Stop lights,Type of Transportation
07:42: 00,4/14/2026,home to UCSB,1,2.7,10,10:36,0,bike 
09:25: 00,4/14/2026,UCSB to home,1,2.8,13,12:54,1,bike 
12:10: 00,4/14/2026,home to UCSB,2,2.7,12,11:43,0,bike 
16:50: 00,4/14/2026,UCSB to home,2,2.6,14,11:54,1,bike 
07:40: 00,4/16/2026,home to UCSB,1,2.7,6,12:04,2,bike 
09:25: 00,4/16/2026,UCSB to home,1,2.8,6,10:56,1,bike 
12:12: 00,4/16/2026,home to UCSB,2,2.8,8,10:22,0,bike 
17:05: 00,4/16/2026,UCSB to home,2,2.6,4,10:39,2,bike 
07:40: 00,4/21/2026,home to UCSB,1,2.7,5,11:06,1,bike 
09:20: 00,4/21/2026,UCSB to home,1,2.6,10,11:15,1,bike 
12:16: 00,4/21/2026,home to UCSB,2,2.6,11,10:11,1,bike 
16:55: 00,4/21/2026,UCSB to home,2,2.8,11,10:55,2,bike 
07:45: 00,4/23/2026,home to UCSB,1,2.7,5,10:36,1,bike 
09:25: 00,4/23/2026,UCSB to home,1,2.8,6,12:54,3,bike 
12:10: 00,4/23/2026,home to UCSB,2,2.7,8,11:43,1,bike 
16:50: 00,4/23/2026,UCSB to home,2,2.7,8,11:54,1,bike 
07:48: 00,4/24/2026,home to UCSB,1,2.5,4,12:04,3,bike 
09:20: 00,4/24/2026,UCSB to home,1,2.6,7,13:00,3,bike 
12:13: 00,4/24/2026,home to UCSB,2,2.7,5,10:01,0,bike 
16:55: 00,4/24/2026,UCSB to home,2,2.7,5,9:57,0,bike 
07:46: 00,4/28/2026,home to UCSB,1,2.7,8,11:30,0,bike 
09:50: 00,4/28/2026,UCSB to home,1,2.8,9,10:15,1,bike 
12:10: 00,4/28/2026,home to UCSB,2,2.6,11,11:48,1,bike 
17:15: 00,4/28/2026,UCSB to home,2,2.7,13,10:59,0,bike 
07:35: 00,5/5/2026,home to UCSB,1,3.3,4,13:44,3,car
09:50: 00,5/5/2026,UCSB to home,1,3.3,4,14:02,4,car
12:10: 00,5/5/2026,home to UCSB,2,3.2,7,13:52,4,car
17:05: 00,5/5/2026,UCSB to home,2,3.2,11,14:56,5,car
07:38: 00,5/7/2026,home to UCSB,1,3.3,5,13:14,2,car
09:35: 00,5/7/2026,UCSB to home,1,3.3,5,13:56,3,car
12:08: 00,5/7/2026,home to UCSB,2,3.2,9,12:53,3,car
17:02: 00,5/7/2026,UCSB to home,2,3.2,10,14:09,4,car
07:35: 00,5/12/2026,home to UCSB,1,3.3,4,13:32,3,car
09:23: 00,5/12/2026,UCSB to home,1,3.3,6,11:08,1,car
12:10: 00,5/12/2026,home to UCSB,2,3.2,6,13:03,3,car
17:26: 00,5/12/2026,UCSB to home,2,3.2,14,15:04,5,car
07:40: 00,5/14/2026,home to UCSB,1,2.7,7,10:05,0,bike 
09:30: 00,5/14/2026,UCSB to home,1,2.8,7,10:48,2,bike 
12:11: 00,5/14/2026,home to UCSB,2,2.6,13,11:58,1,bike 
17:20: 00,5/14/2026,UCSB to home,2,2.7,16,11:43,1,bike 
08:40: 00,5/15/2026,home to UCSB,1,2.8,4,10:09,1,bike 
10:15: 00,5/15/2026,UCSB to home,1,2.8,5,10:43,1,bike 
07:46: 00,5/19/2026,home to UCSB,1,2.7,8,9:52,0,bike 
09:25: 00,5/19/2026,UCSB to home,1,2.8,8,11:13,2,bike 
12:15: 00,5/19/2026,home to UCSB,2,2.6,15,11:06,0,bike 
05:00: 00,5/19/2026,UCSB to home,2,2.6,17,12:55,1,bike 
07:46: 00,5/21/2026,home to UCSB,1,2.7,8,10:13,0,bike 
09:25: 00,5/21/2026,UCSB to home,1,2.7,12,11:10,1,bike 
12:15: 00,5/21/2026,home to UCSB,2,2.6,8,12:43,2,bike 
04:50: 00,5/21/2026,UCSB to home,2,2.7,10,11:01,0,bike 
07:45: 00,5/26/2026,home to UCSB,1,2.7,18,12:55,0,bike 
09:35: 00,5/26/2026,UCSB to home,1,2.7,25,13:32,1,bike 
12:10: 00,5/26/2026,home to UCSB,2,2.7,27,13:51,1,bike 
04:50: 00,5/26/2026,UCSB to home,2,2.6,23,14:06,2,bike 
